Date,Type,Info
1668679735.0,Walking,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': 54.72076019417476, 'MeanRsrp': [-81.0, -78.0, -81.0], 'MeanSsrsrp': [], 'Counter_tput': 103, 'Counter_latency': 0}, '5G': {'MeanLatency': 41.654545454545456, 'MeanThroughput': nan, 'MeanRsrp': [], 'MeanSsrsrp': [-91.0, -91.0], 'Counter_tput': 0, 'Counter_latency': 11}}"
1675621308.0,Static,"{'LTE': {'MeanLatency': 160.54545454545456, 'MeanThroughput': 2.928735862068964, 'MeanRsrp': [-99.0, -100.0], 'MeanSsrsrp': [], 'Counter_tput': 145, 'Counter_latency': 11}}"
1663916893.0,Walking,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': 2.62145, 'MeanRsrp': [-68.0, -67.0, -67.0, -68.0, -68.0, -68.0, -68.0, -69.0, -69.0, -69.0, -69.0], 'MeanSsrsrp': [], 'Counter_tput': 2, 'Counter_latency': 0}, '5G': {'MeanLatency': 59.71818181818182, 'MeanThroughput': 143.7906524752475, 'MeanRsrp': [], 'MeanSsrsrp': [-72.0, -81.0, -81.0, -81.0, -81.0, -78.0, -78.0, -73.0, -73.0], 'Counter_tput': 101, 'Counter_latency': 11}}"
1670584876.0,Walking,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': 12.236066666666666, 'MeanRsrp': [-58.0, -58.0, -58.0, -58.0, -58.0, -58.0, -58.0, -59.0, -59.0, -59.0, -59.0], 'MeanSsrsrp': [], 'Counter_tput': 3, 'Counter_latency': 0}, '5G': {'MeanLatency': 42.25454545454546, 'MeanThroughput': 16.568063199999997, 'MeanRsrp': [], 'MeanSsrsrp': [-75.0, -74.0, -74.0, -75.0, -75.0, -73.0, -73.0, -72.0, -72.0, -71.0], 'Counter_tput': 125, 'Counter_latency': 11}}"
1693810989.0,Walking,"{'LTE': {'MeanLatency': 43.2, 'MeanThroughput': 57.05691666666668, 'MeanRsrp': [-65.0], 'MeanSsrsrp': [], 'Counter_tput': 102, 'Counter_latency': 11}}"
1686855763.0,Walking,"{'LTE': {'MeanLatency': 36.9, 'MeanThroughput': 61.6113, 'MeanRsrp': [-67.0, -67.0, -69.0, -68.0, -68.0, -68.0, -66.0, -66.0, -66.0], 'MeanSsrsrp': [], 'Counter_tput': 4, 'Counter_latency': 1}, '5G': {'MeanLatency': 43.03000000000001, 'MeanThroughput': 66.70957238095238, 'MeanRsrp': [], 'MeanSsrsrp': [-66.0, -67.0, -67.0, -67.0, -64.0, -62.0, -62.0, -62.0], 'Counter_tput': 105, 'Counter_latency': 10}}"
1665682816.0,Walking,"{'LTE': {'MeanLatency': 60.73636363636364, 'MeanThroughput': 56.687224752475224, 'MeanRsrp': [-71.0], 'MeanSsrsrp': [], 'Counter_tput': 101, 'Counter_latency': 11}}"
1663388610.0,Walking,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': nan, 'MeanRsrp': [-77.0, -76.0, -76.0, -75.0, -75.0, -75.0, -75.0, -75.0, -75.0], 'MeanSsrsrp': [], 'Counter_tput': 0, 'Counter_latency': 0}, '5G': {'MeanLatency': 51.00909090909091, 'MeanThroughput': 133.66987087378638, 'MeanRsrp': [], 'MeanSsrsrp': [-85.0, -85.0, -84.0, -84.0, -83.0, -83.0, -84.0, -84.0, -84.0], 'Counter_tput': 103, 'Counter_latency': 11}}"
1686389918.0,Walking,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': nan, 'MeanRsrp': [-66.0, -66.0, -67.0, -67.0, -68.0, -68.0, -69.0, -70.0, -70.0, -71.0], 'MeanSsrsrp': [], 'Counter_tput': 0, 'Counter_latency': 0}, '5G': {'MeanLatency': 47.42727272727273, 'MeanThroughput': 126.63627692307689, 'MeanRsrp': [], 'MeanSsrsrp': [-60.0, -74.0, -74.0, -77.0, -77.0, -82.0, -82.0, -83.0, -83.0, -82.0], 'Counter_tput': 104, 'Counter_latency': 11}}"
1665076190.0,Walking,"{'LTE': {'MeanLatency': 60.181818181818194, 'MeanThroughput': 43.53645196078433, 'MeanRsrp': [-87.0], 'MeanSsrsrp': [], 'Counter_tput': 102, 'Counter_latency': 11}}"
1682238184.0,Static,"{'LTE': {'MeanLatency': 58.39090909090908, 'MeanThroughput': 105.99932475247529, 'MeanRsrp': [-82.0], 'MeanSsrsrp': [], 'Counter_tput': 101, 'Counter_latency': 11}}"
1663086853.0,Walking,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': 59.58072727272727, 'MeanRsrp': [-83.0, -81.0, -81.0, -82.0, -81.0, -81.0, -82.0, -82.0, -82.0, -82.0, -82.0, -82.0], 'MeanSsrsrp': [], 'Counter_tput': 11, 'Counter_latency': 0}, '5G': {'MeanLatency': 36.7, 'MeanThroughput': 100.37670729166666, 'MeanRsrp': [], 'MeanSsrsrp': [-83.0, -83.0, -84.0, -84.0, -87.0, -87.0, -87.0, -87.0, -87.0, -88.0], 'Counter_tput': 96, 'Counter_latency': 11}}"
1685734993.0,Walking,"{'LTE': {'MeanLatency': 45.481818181818184, 'MeanThroughput': 59.64447128712873, 'MeanRsrp': [-67.0], 'MeanSsrsrp': [], 'Counter_tput': 101, 'Counter_latency': 11}}"
1663090148.0,Static,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': nan, 'MeanRsrp': [-75.0, -74.0, -74.0, -74.0, -74.0, -74.0, -75.0, -75.0, -75.0], 'MeanSsrsrp': [], 'Counter_tput': 0, 'Counter_latency': 0}, '5G': {'MeanLatency': 50.91000000000001, 'MeanThroughput': 137.57583076923078, 'MeanRsrp': [], 'MeanSsrsrp': [-76.0, -76.0, -77.0, -77.0, -80.0, -80.0, -80.0, -80.0, -79.0], 'Counter_tput': 104, 'Counter_latency': 10}}"
1663087494.0,Walking,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': 25.62421111111111, 'MeanRsrp': [-77.0, -77.0, -77.0, -75.0, -75.0, -75.0, -75.0, -76.0, -76.0, -74.0, -74.0], 'MeanSsrsrp': [], 'Counter_tput': 9, 'Counter_latency': 0}, '5G': {'MeanLatency': 39.89090909090909, 'MeanThroughput': 94.98313711340208, 'MeanRsrp': [], 'MeanSsrsrp': [-64.0, -64.0, -92.0, -92.0, -88.0, -90.0, -90.0, -90.0, -88.0], 'Counter_tput': 97, 'Counter_latency': 11}}"
1667684896.0,Walking,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': nan, 'MeanRsrp': [-104.0, -104.0, -104.0, -104.0, -104.0, -104.0, -104.0, -105.0, -105.0, -105.0, -103.0], 'MeanSsrsrp': [], 'Counter_tput': 0, 'Counter_latency': 0}, '5G': {'MeanLatency': 37.581818181818186, 'MeanThroughput': 3.4031675438596496, 'MeanRsrp': [], 'MeanSsrsrp': [-115.0, -115.0, -115.0, -114.0, -114.0, -111.0, -111.0, -109.0, -109.0, -105.0, -105.0], 'Counter_tput': 114, 'Counter_latency': 11}}"
1669633763.0,Walking,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': 55.57679, 'MeanRsrp': [-88.0, -83.0, -87.0, -87.0, -87.0, -87.0, -87.0], 'MeanSsrsrp': [], 'Counter_tput': 10, 'Counter_latency': 0}, '5G': {'MeanLatency': 54.436363636363645, 'MeanThroughput': 81.94074020618555, 'MeanRsrp': [], 'MeanSsrsrp': [-98.0, -98.0, -96.0, -96.0, -96.0, -96.0], 'Counter_tput': 97, 'Counter_latency': 11}}"
1667764645.0,Walking,"{'LTE': {'MeanLatency': nan, 'MeanThroughput': 30.741722727272734, 'MeanRsrp': [-85.0, -87.0, -88.0, -89.0, -89.0, -90.0, -91.0, -91.0, -91.0, -91.0, -91.0, -92.0, -92.0, -90.0], 'MeanSsrsrp': [], 'Counter_tput': 22, 'Counter_latency': 0}, '5G': {'MeanLatency': 48.95454545454545, 'MeanThroughput': 68.8984929411765, 'MeanRsrp': [], 'MeanSsrsrp': [-95.0, -98.0, -98.0, -98.0, -98.0, -94.0, -95.0, -95.0], 'Counter_tput': 85, 'Counter_latency': 11}}"
