Country,StateUSA,Info,City
Denmark,Kongens,"{('LTE', '42058004', '28'): {'MeanLatency': 40.3909090909091, 'MeanThroughput': 23.877428712871296}}",Lyngby
España,"Leganés,","{('LTE', '72756737', '432'): {'MeanLatency': 64.33636363636363, 'MeanThroughput': 6.192149137931032}}",Leganés
Canada,V5B,"{('5G', '9223372036854775807', '275'): {'MeanLatency': 31.400000000000002, 'MeanThroughput': 12.815777777777779}, ('LTE', '9223372036854775807', '275'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '53889065', '274'): {'MeanLatency': nan, 'MeanThroughput': 4.234876923076923}, ('5G', '53889065', '274'): {'MeanLatency': nan, 'MeanThroughput': 6.784870588235294}, ('5G', '53889064', '274'): {'MeanLatency': 30.2, 'MeanThroughput': 2.466991176470589}}",Burnaby
España,"Fuenlabrada,","{('LTE', '72665346', '442'): {'MeanLatency': nan, 'MeanThroughput': 4.331521739130435}, ('5G', '72665346', '442'): {'MeanLatency': 39.45, 'MeanThroughput': 22.530378378378384}, ('LTE', '72667138', '209'): {'MeanLatency': nan, 'MeanThroughput': 6.29188}, ('5G', '72667138', '209'): {'MeanLatency': 46.81428571428571, 'MeanThroughput': 10.4826}}",Fuenlabrada
United States,MA,"{('LTE', '15640842', '45'): {'MeanLatency': 44.90909090909091, 'MeanThroughput': 2.8761424778761056}}",Stoughton
España,28035,"{('5G', '73604866', '398'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73678850', '64'): {'MeanLatency': nan, 'MeanThroughput': 28.704490000000003}, ('LTE', '73678850', '64'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '74062083', '446'): {'MeanLatency': 54.92727272727273, 'MeanThroughput': 32.62352222222223}}",Madrid
España,28035,"{('5G', '71915777', '471'): {'MeanLatency': nan, 'MeanThroughput': 30.472343749999997}, ('LTE', '71915777', '471'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '74114561', '363'): {'MeanLatency': 51.70909090909092, 'MeanThroughput': 32.756799009900995}, ('LTE', '74114561', '363'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
Canada,V3J,"{('5G', '0', '340'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '53951018', '489'): {'MeanLatency': 33.26363636363636, 'MeanThroughput': 3.069012195121952}, ('LTE', '53951018', '489'): {'MeanLatency': nan, 'MeanThroughput': 3.5122097087378648}, ('LTE', '0', '340'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Burnaby
Denmark,Kongens,"{('LTE', '44136980', '283'): {'MeanLatency': 40.26363636363636, 'MeanThroughput': 50.50832376237623}}",Lyngby
United States,NM,"{('5G', '21483268', '27'): {'MeanLatency': 94.1, 'MeanThroughput': 0.1626434108527132}, ('LTE', '21483268', '27'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Albuquerque
,,"{('5G', '72629761', '145'): {'MeanLatency': 45.50909090909091, 'MeanThroughput': 28.16857090909091}, ('LTE', '72629761', '145'): {'MeanLatency': nan, 'MeanThroughput': nan}}",
Norway,0572,"{('LTE', '31335179', '51'): {'MeanLatency': nan, 'MeanThroughput': 54.72076019417476}, ('5G', '31335179', '51'): {'MeanLatency': 41.654545454545456, 'MeanThroughput': nan}}",kommune
Norway,0484,"{('LTE', '51689217', '168'): {'MeanLatency': 160.54545454545456, 'MeanThroughput': 2.928735862068964}}",kommune
España,28035,"{('5G', '73781769', '130'): {'MeanLatency': nan, 'MeanThroughput': 7.776944999999999}, ('LTE', '73781769', '130'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73604865', '397'): {'MeanLatency': nan, 'MeanThroughput': 24.466881481481483}, ('LTE', '73604865', '397'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73604866', '398'): {'MeanLatency': 52.82727272727273, 'MeanThroughput': 14.706180555555559}, ('LTE', '73604866', '398'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,"Fortuna,","{('LTE', '72531202', '122'): {'MeanLatency': 1119.2818181818182, 'MeanThroughput': 10.449453472222224}}",Fortuna
Canada,"Surrey,","{('LTE', '9223372036854775807', '132'): {'MeanLatency': nan, 'MeanThroughput': 25.99700416666667}, ('5G', '9223372036854775807', '132'): {'MeanLatency': 32.5, 'MeanThroughput': 41.48496124999999}}",Surrey
Canada,V6E,"{('LTE', '9223372036854775807', '156'): {'MeanLatency': nan, 'MeanThroughput': 30.350195774647897}, ('5G', '9223372036854775807', '156'): {'MeanLatency': nan, 'MeanThroughput': 26.213589999999993}, ('5G', '53851690', '156'): {'MeanLatency': 28.563636363636363, 'MeanThroughput': 18.352075}}",Vancouver
Denmark,Kongens,"{('LTE', '44136980', '283'): {'MeanLatency': 43.69090909090909, 'MeanThroughput': 23.158884466019426}}",Lyngby
Denmark,Kongens,"{('LTE', '44136980', '283'): {'MeanLatency': 39.95454545454545, 'MeanThroughput': 47.60127425742576}}",Lyngby
Norway,0572,"{('LTE', '51662597', '87'): {'MeanLatency': nan, 'MeanThroughput': 2.62145}, ('5G', '51662597', '87'): {'MeanLatency': 59.71818181818182, 'MeanThroughput': 143.7906524752475}}",kommune
España,28029,"{('5G', '74114561', '363'): {'MeanLatency': nan, 'MeanThroughput': 18.59857857142857}, ('LTE', '74114561', '363'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '74138883', '258'): {'MeanLatency': nan, 'MeanThroughput': 13.808559405940596}, ('LTE', '74138883', '258'): {'MeanLatency': nan, 'MeanThroughput': 5.2419}, ('LTE', '73704969', '302'): {'MeanLatency': 57.23636363636364, 'MeanThroughput': nan}}",Madrid
United States,MA,"{('5G', '225546251', '78'): {'MeanLatency': 65.70909090909092, 'MeanThroughput': 27.70598620689656}}",Boston
España,"Leganés,","{('LTE', '72531202', '122'): {'MeanLatency': 56.79090909090908, 'MeanThroughput': 35.67433725490196}}",Leganés
United States,CA,"{('5G', '21078793', '284'): {'MeanLatency': 85.24545454545454, 'MeanThroughput': 8.605839310344829}, ('LTE', '21078793', '284'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Milpitas
Norway,0565,"{('5G', '51662597', '87'): {'MeanLatency': 42.25454545454546, 'MeanThroughput': 16.568063199999997}, ('LTE', '51662597', '87'): {'MeanLatency': nan, 'MeanThroughput': 12.236066666666666}}",kommune
United States,IN,"{('LTE', '6652675', '350'): {'MeanLatency': 75.08181818181818, 'MeanThroughput': 11.326725471698113}}",Lafayette
España,"Alarcón,","{('LTE', '74065153', '378'): {'MeanLatency': 109.56363636363636, 'MeanThroughput': 6.432644680851064}}",Alarcón
,,{},
,,"{('LTE', '43790713', '250'): {'MeanLatency': 38.86363636363636, 'MeanThroughput': 8.051510714285714}}",
España,28023,"{('5G', '72630019', '158'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '72630019', '158'): {'MeanLatency': nan, 'MeanThroughput': 6.553925}, ('LTE', '73166594', '301'): {'MeanLatency': nan, 'MeanThroughput': 16.50745810810811}, ('5G', '73166594', '301'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73166595', '302'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '73166595', '302'): {'MeanLatency': 56.16363636363637, 'MeanThroughput': 5.474467647058824}}",Madrid
,IL,"{('LTE', '54749837', '397'): {'MeanLatency': 315.54545454545456, 'MeanThroughput': 4.290706363636365}}",
España,"Alarcón,","{('LTE', '74011395', '494'): {'MeanLatency': 53.67272727272728, 'MeanThroughput': 20.06415865384615}}",Alarcón
España,"Alarcón,","{('LTE', '73118979', '146'): {'MeanLatency': nan, 'MeanThroughput': 5.730976744186045}, ('LTE', '72657411', '314'): {'MeanLatency': 57.063636363636355, 'MeanThroughput': 6.220269491525425}, ('LTE', '72657410', '312'): {'MeanLatency': nan, 'MeanThroughput': 15.7284}}",Alarcón
España,28020,"{('5G', '72655619', '350'): {'MeanLatency': nan, 'MeanThroughput': 0.9696335616438357}, ('LTE', '72655619', '350'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72193281', '249'): {'MeanLatency': 600.6818181818181, 'MeanThroughput': nan}, ('LTE', '72193281', '249'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
